time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
2.419,3.46567,-3.24947,2.5192,3.44081,-3.23396,2.54084,3.4384,-3.23228,2.54084,3.4408,-3.23395,2.54084,0.0292958,0.021644,0.0322331,0.021644,0.0293131,0.021644
2.47,3.46262,-3.24794,2.5174,3.43794,-3.23199,2.54084,3.43542,-3.23023,2.54084,3.43792,-3.23198,2.54084,0.0293887,0.023444,0.0324607,0.023444,0.0294066,0.023444
2.51,3.46232,-3.24747,2.5185,3.43778,-3.23188,2.54084,3.43525,-3.23012,2.54084,3.43776,-3.23187,2.54084,0.0290792,0.022344,0.0321579,0.022344,0.0290972,0.022344
2.53,3.46045,-3.2449,2.522,3.43538,-3.23024,2.54084,3.43276,-3.22841,2.54084,3.43537,-3.23023,2.54084,0.0290384,0.018844,0.0322237,0.018844,0.0290568,0.018844
2.581,3.45988,-3.24441,2.522,3.43357,-3.229,2.54084,3.43088,-3.22713,2.54084,3.43356,-3.22899,2.54084,0.030488,0.018844,0.0337599,0.018844,0.0305068,0.018844
2.601,3.45687,-3.24312,2.5205,3.43241,-3.2282,2.54084,3.42967,-3.22629,2.54084,3.43239,-3.22819,2.54084,0.0286547,0.020344,0.0319867,0.020344,0.0286738,0.020344
2.632,3.45373,-3.24164,2.5189,3.42954,-3.22624,2.54084,3.42668,-3.22425,2.54084,3.42952,-3.22623,2.54084,0.028683,0.021944,0.0321571,0.021944,0.0287027,0.021944
2.683,3.45112,-3.23874,2.5194,3.42683,-3.22438,2.54084,3.42386,-3.22232,2.54084,3.42681,-3.22437,2.54084,0.0282172,0.021444,0.0318188,0.021444,0.0282374,0.021444
2.733,3.45062,-3.23831,2.5198,3.42492,-3.22307,2.54084,3.42188,-3.22095,2.54084,3.4249,-3.22306,2.54084,0.0298753,0.021044,0.033573,0.021044,0.0298958,0.021044
2.774,3.44751,-3.23674,2.5205,3.42364,-3.2222,2.54084,3.42055,-3.22005,2.54084,3.42363,-3.22219,2.54084,0.027951,0.020344,0.0317159,0.020344,0.0279718,0.020344
2.794,3.44673,-3.23647,2.5196,3.42142,-3.22067,2.54084,3.41823,-3.21845,2.54084,3.4214,-3.22066,2.54084,0.0298407,0.021244,0.0337208,0.021244,0.029862,0.021244
2.835,3.44359,-3.23472,2.5155,3.41914,-3.21911,2.54084,3.41585,-3.21683,2.54084,3.41912,-3.2191,2.54084,0.0290159,0.025344,0.0330147,0.025344,0.0290376,0.025344
2.865,3.44214,-3.23289,2.5184,3.41797,-3.21831,2.54084,3.41463,-3.21599,2.54084,3.41795,-3.2183,2.54084,0.0282225,0.022444,0.0322772,0.022444,0.0282444,0.022444
2.896,3.43898,-3.23041,2.5204,3.41516,-3.21639,2.54084,3.41171,-3.21399,2.54084,3.41514,-3.21637,2.54084,0.0276396,0.020444,0.0318384,0.020444,0.027662,0.020444
2.966,3.43808,-3.23012,2.5193,3.41331,-3.21512,2.54084,3.40977,-3.21266,2.54084,3.41329,-3.21511,2.54084,0.028957,0.021544,0.033258,0.021544,0.0289798,0.021544
