time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
2.733,3.45062,-3.23831,2.5198,3.42485,-3.22326,2.54124,3.4218,-3.22114,2.54124,3.42483,-3.22325,2.54124,0.0298432,0.021444,0.0335394,0.021444,0.0298637,0.021444
2.774,3.44751,-3.23674,2.5205,3.42357,-3.22238,2.54124,3.42048,-3.22023,2.54124,3.42355,-3.22237,2.54124,0.0279166,0.020744,0.0316801,0.020744,0.0279374,0.020744
2.794,3.44673,-3.23647,2.5196,3.42134,-3.22086,2.54124,3.41815,-3.21864,2.54124,3.42133,-3.22085,2.54124,0.0298043,0.021644,0.0336833,0.021644,0.0298256,0.021644
2.835,3.44359,-3.23472,2.5155,3.41906,-3.2193,2.54124,3.41578,-3.21701,2.54124,3.41905,-3.21929,2.54124,0.0289775,0.025744,0.0329754,0.025744,0.0289992,0.025744
2.865,3.44214,-3.23289,2.5184,3.4179,-3.2185,2.54124,3.41456,-3.21618,2.54124,3.41788,-3.21849,2.54124,0.0281892,0.022844,0.0322423,0.022844,0.0282111,0.022844
2.896,3.43898,-3.23041,2.5204,3.41509,-3.21658,2.54124,3.41163,-3.21418,2.54124,3.41507,-3.21656,2.54124,0.0276085,0.020844,0.0318053,0.020844,0.027631,0.020844
2.966,3.43808,-3.23012,2.5193,3.41323,-3.21531,2.54124,3.4097,-3.21285,2.54124,3.41322,-3.21529,2.54124,0.0289234,0.021944,0.0332228,0.021944,0.0289463,0.021944
2.987,3.43483,-3.22899,2.5159,3.41212,-3.21455,2.54124,3.40853,-3.21206,2.54124,3.4121,-3.21453,2.54124,0.0269074,0.025344,0.0312728,0.025344,0.0269305,0.025344
2.995,3.43434,-3.22863,2.5164,3.41196,-3.21444,2.54124,3.40837,-3.21194,2.54124,3.41195,-3.21442,2.54124,0.0264987,0.024844,0.0308725,0.024844,0.0265218,0.024844
3.007,3.43368,-3.22638,2.5227,3.40911,-3.21248,2.54124,3.40538,-3.2099,2.54124,3.40909,-3.21247,2.54124,0.0282347,0.018544,0.0327501,0.018544,0.0282583,0.018544
3.068,3.43332,-3.22587,2.5232,3.40742,-3.21132,2.54124,3.40361,-3.20869,2.54124,3.4074,-3.21131,2.54124,0.0297074,0.018044,0.0343154,0.018044,0.0297314,0.018044
3.088,3.42867,-3.22365,2.5198,3.4062,-3.21049,2.54124,3.40234,-3.20782,2.54124,3.40618,-3.21048,2.54124,0.0260397,0.021444,0.0307217,0.021444,0.0260639,0.021444
3.118,3.4276,-3.2233,2.5192,3.40393,-3.20894,2.54124,3.39997,-3.20619,2.54124,3.40391,-3.20892,2.54124,0.0276861,0.022044,0.0324996,0.022044,0.0277108,0.022044
3.197,3.42312,-3.22009,2.5181,3.40455,-3.20868,2.53564,3.39757,-3.204,2.5396,3.40384,-3.20827,2.53676,0.0217926,0.0175431,0.0301909,0.021497,0.0226164,0.0186581
3.214,3.42272,-3.21962,2.5185,3.40416,-3.20841,2.53564,3.39718,-3.20374,2.5396,3.40345,-3.208,2.53676,0.0216782,0.0171431,0.0300751,0.021097,0.0225024,0.0182581
3.23,3.42003,-3.21754,2.521,3.4013,-3.20643,2.53564,3.39431,-3.20176,2.5396,3.40059,-3.20602,2.53676,0.0217726,0.0146431,0.0301714,0.018597,0.0225986,0.0157581
3.291,3.41642,-3.21573,2.5183,3.39685,-3.20334,2.53564,3.38984,-3.19869,2.5396,3.39613,-3.20294,2.53676,0.0231604,0.0173431,0.0315774,0.021297,0.0239882,0.0184581
3.354,3.41583,-3.21529,2.5179,3.39669,-3.20323,2.53564,3.38967,-3.19858,2.5396,3.39596,-3.20282,2.53676,0.0226233,0.0177431,0.0310409,0.021697,0.0234512,0.0188581
3.361,3.41363,-3.21294,2.5208,3.39433,-3.2016,2.53564,3.3873,-3.19694,2.5396,3.3936,-3.20119,2.53676,0.0223933,0.0148431,0.0308158,0.018797,0.0232235,0.0159581
3.4,3.41334,-3.21252,2.5222,3.39422,-3.20152,2.53564,3.38719,-3.19687,2.5396,3.39349,-3.20112,2.53676,0.022064,0.0134431,0.0304838,0.017397,0.0228944,0.0145581
3.422,3.41077,-3.21098,2.5233,3.3912,-3.19943,2.53564,3.38415,-3.19478,2.5396,3.39048,-3.19903,2.53676,0.0227232,0.0123431,0.0311656,0.016297,0.0235554,0.0134581
3.473,3.40608,-3.20932,2.518,3.38901,-3.19791,2.53564,3.38194,-3.19326,2.5396,3.38828,-3.19751,2.53676,0.0205288,0.0176431,0.0289937,0.021597,0.0213596,0.0187581
3.513,3.40554,-3.20878,2.5188,3.38688,-3.19643,2.53564,3.37979,-3.19178,2.5396,3.38614,-3.19604,2.53676,0.0223741,0.0168431,0.030855,0.020797,0.0232065,0.0179581
3.544,3.40463,-3.20654,2.5233,3.38628,-3.19602,2.53564,3.37918,-3.19137,2.5396,3.38554,-3.19562,2.53676,0.0211521,0.0123431,0.0296271,0.016297,0.0219877,0.0134581
3.564,3.40445,-3.20608,2.5243,3.38387,-3.19435,2.53564,3.37675,-3.1897,2.5396,3.38313,-3.19395,2.53676,0.0236873,0.0113431,0.0321807,0.015297,0.0245245,0.0124581
3.594,3.40246,-3.20465,2.5244,3.3831,-3.19382,2.53564,3.37598,-3.18917,2.5396,3.38236,-3.19342,2.53676,0.0221764,0.0112431,0.0306735,0.015197,0.0230143,0.0123581
3.615,3.4016,-3.2044,2.5227,3.38228,-3.19325,2.53564,3.37515,-3.1886,2.5396,3.38154,-3.19286,2.53676,0.0223018,0.0129431,0.0308112,0.016897,0.0231399,0.0140581
3.625,3.39782,-3.20317,2.5179,3.38004,-3.1917,2.53564,3.37288,-3.18704,2.5396,3.3793,-3.1913,2.53676,0.021163,0.0177431,0.0297008,0.021697,0.0220002,0.0188581
3.675,3.39746,-3.20277,2.5183,3.37889,-3.1909,2.53564,3.37172,-3.18624,2.5396,3.37815,-3.19051,2.53676,0.0220375,0.0173431,0.0305861,0.021297,0.0228757,0.0184581
3.686,3.39589,-3.20029,2.5235,3.37687,-3.1895,2.53564,3.36968,-3.18484,2.5396,3.37612,-3.18911,2.53676,0.0218651,0.0121431,0.0304226,0.016097,0.0227071,0.0132581
3.736,3.39537,-3.19977,2.5237,3.37458,-3.18791,2.53564,3.36736,-3.18325,2.5396,3.37383,-3.18752,2.53676,0.0239387,0.0119431,0.0325211,0.015897,0.0247822,0.0130581
3.767,3.39161,-3.19763,2.5228,3.37223,-3.18628,2.53564,3.36499,-3.18162,2.5396,3.37148,-3.1859,2.53676,0.022454,0.0128431,0.031066,0.016797,0.0232988,0.0139581
3.817,3.38808,-3.19546,2.5228,3.37059,-3.18515,2.53564,3.36333,-3.18048,2.5396,3.36984,-3.18476,2.53676,0.0202969,0.0128431,0.0289293,0.016797,0.0211427,0.0139581
3.848,3.38766,-3.19504,2.5225,3.36847,-3.18368,2.53564,3.36118,-3.179,2.5396,3.36771,-3.18329,2.53676,0.0223079,0.0131431,0.0309665,0.017097,0.0231552,0.0142581
3.878,3.38615,-3.1932,2.5238,3.36618,-3.18209,2.53564,3.35886,-3.1774,2.5396,3.36542,-3.18171,2.53676,0.022861,0.0118431,0.0315402,0.015797,0.0237111,0.0129581
3.939,3.38237,-3.19105,2.5241,3.36432,-3.18081,2.53564,3.35698,-3.17611,2.5396,3.36356,-3.18043,2.53676,0.0207524,0.0115431,0.0294602,0.015497,0.0216035,0.0126581
3.959,3.3816,-3.19077,2.5232,3.36226,-3.17937,2.53564,3.35488,-3.17467,2.5396,3.36149,-3.17899,2.53676,0.0224544,0.0124431,0.0311951,0.016397,0.0233063,0.0135581
3.989,3.37856,-3.18875,2.5186,3.36008,-3.17786,2.53564,3.35267,-3.17315,2.5396,3.35931,-3.17749,2.53676,0.0214498,0.0170431,0.0302218,0.020997,0.0223034,0.0181581
4.027,3.37823,-3.18826,2.5192,3.35991,-3.17775,2.53564,3.35251,-3.17304,2.5396,3.35915,-3.17737,2.53676,0.0211101,0.0164431,0.0298818,0.020397,0.0219644,0.0175581
4.04,3.37681,-3.18603,2.5252,3.35747,-3.17605,2.53564,3.35002,-3.17133,2.5396,3.35669,-3.17568,2.53676,0.0217619,0.0104431,0.0305523,0.014397,0.0226198,0.0115581
