time,x_true,y_true,yaw_true,nkf_x,nkf_y,nkf_yaw,ekf_x,ekf_y,ekf_yaw,ukf_x,ukf_y,ukf_yaw,nkf_xy_error,nkf_yaw_error,ekf_xy_error,ekf_yaw_error,ukf_xy_error,ukf_yaw_error
273.294,2.84387,1.40574,-0.3289,2.6913,1.56472,5.87477,2.42671,1.18545,6.0655,2.69468,1.55114,5.85653,0.220339,0.0795125,0.471758,0.111219,0.208321,0.0977544
273.355,2.8458,1.40497,-0.3528,2.70016,1.56157,5.86913,2.43248,1.18472,6.03893,2.70245,1.54836,5.86576,0.213861,0.061259,0.468342,0.10854,0.20276,0.0646296
273.386,2.84754,1.40454,-0.3637,2.70171,1.56088,5.86117,2.43415,1.1843,6.03097,2.70401,1.54767,5.8578,0.213797,0.058319,0.4684,0.11148,0.202698,0.0616896
273.406,2.84959,1.40367,-0.3732,2.7042,1.55976,5.84843,2.43681,1.18361,6.01823,2.7065,1.54653,5.84506,0.213319,0.061555,0.467775,0.108244,0.202201,0.0649256
273.447,2.85191,1.40289,-0.3869,2.70767,1.55813,5.83052,2.44055,1.18258,6.00032,2.70998,1.54488,5.82715,0.211905,0.065765,0.466644,0.104034,0.20076,0.0691356
273.488,2.85362,1.40265,-0.4027,2.70912,1.55742,5.82296,2.44211,1.18212,5.99276,2.71143,1.54417,5.81959,0.211741,0.057527,0.46687,0.112272,0.200606,0.0608976
273.498,2.85452,1.40246,-0.4137,2.71148,1.55625,5.81062,2.44467,1.18135,5.98042,2.7138,1.54298,5.80725,0.210026,0.058865,0.465687,0.110934,0.198865,0.0622356
273.539,2.8553,1.4019,-0.4234,2.71473,1.55457,5.79351,2.44819,1.18023,5.96331,2.71706,1.54128,5.79014,0.207535,0.066279,0.463545,0.10352,0.196318,0.0696496
273.588,2.85709,1.40109,-0.441,2.71729,1.55562,5.79035,2.45156,1.18022,5.94692,2.72003,1.54182,5.80027,0.208383,0.0518377,0.46178,0.10473,0.196441,0.0419112
273.62,2.85866,1.40064,-0.4526,2.71864,1.55489,5.78318,2.45302,1.1797,5.93975,2.72139,1.5411,5.79311,0.208331,0.0474017,0.461909,0.109166,0.196401,0.0374752
273.631,2.85976,1.40016,-0.4591,2.72103,1.55358,5.77045,2.45561,1.17877,5.92702,2.7238,1.53981,5.78037,0.206844,0.0536377,0.460812,0.10293,0.194897,0.0437112
273.681,2.86281,1.39871,-0.4846,2.72473,1.55147,5.75055,2.45963,1.17725,5.90712,2.72754,1.53773,5.76047,0.205923,0.0480377,0.459994,0.10853,0.193971,0.0381112
273.722,2.86409,1.3983,-0.4972,2.7278,1.54965,5.73383,2.46298,1.17591,5.8904,2.73064,1.53592,5.74376,0.203669,0.0521537,0.458628,0.104414,0.1917,0.0422272
273.773,2.86664,1.39675,-0.5181,2.73156,1.54732,5.71314,2.46711,1.17418,5.8697,2.73444,1.53362,5.72306,0.202282,0.0519497,0.457342,0.104618,0.190293,0.0420232
273.824,2.86914,1.39582,-0.5416,2.73952,1.54026,5.6953,2.47117,1.17238,5.85021,2.74095,1.52795,5.70543,0.194064,0.0462893,0.456399,0.108629,0.184088,0.0361597
273.864,2.87024,1.39484,-0.5509,2.7408,1.53941,5.68813,2.47258,1.17173,5.84305,2.74224,1.5271,5.69826,0.194052,0.0441532,0.455979,0.110765,0.184065,0.0340237
273.885,2.87142,1.39405,-0.5617,2.7434,1.53763,5.67341,2.47545,1.17037,5.82832,2.74487,1.52535,5.68354,0.192371,0.0480793,0.454781,0.106839,0.182363,0.0379497
